date,close,log_return,realised_volatility_30d,realised_volatility_30d_annualised,volume,trade_count
2023-02-26,23550.0,,,,10.70395,2514
2023-02-27,23477.0,-0.0031046019790555634,,,42.54159,10109
2023-02-28,23119.0,-0.015366428209770598,,,41.95336,9845
2023-03-01,23625.0,0.02165068310620592,,,44.11258,10443
2023-03-02,23456.0,-0.007179147675565444,,,39.15833,9242
2023-03-03,22342.0,-0.048658010555584406,,,37.94228,8388
2023-03-04,22337.0,-0.0002238187972368772,,,15.85553,3601
2023-03-05,22416.0,0.003530493243231462,,,23.94134,5321
2023-03-06,22394.0,-0.0009819237566459514,,,29.2664,6478
2023-03-07,22187.0,-0.00928653406756,,,61.70521,13519
2023-03-08,21697.0,-0.02233252962921046,,,69.15417,15118
2023-03-09,20352.0,-0.0639948149835231,,,114.40674,23728
2023-03-10,20141.0,-0.010421648666967457,,,163.09266,32342
2023-03-11,20449.0,0.015176443046933271,,,111.43879,22228
2023-03-12,21984.0,0.07238093450226131,,,108.34313,21935
2023-03-13,24118.0,0.09264353364146198,,,299.50542,47612
2023-03-14,24688.0,0.023358845939404294,,,301.0041,47660
2023-03-15,24285.0,-0.01645841982309688,,,286.08527,46503
2023-03-16,24994.0,0.02877692026588372,,,185.29337,30087
2023-03-17,27384.0,0.09132310516429236,,,292.51614,50866
2023-03-18,26902.0,-0.01775826794149436,,,185.55681,33330
2023-03-19,27950.0,0.03821656631471846,,,206.19458,37518
2023-03-20,27709.0,-0.00865992943226443,,,233.31213,43124
2023-03-21,28093.0,0.013763164817441987,,,166.36969,30814
2023-03-22,27234.0,-0.031054242283902113,,,119.76765,20216
2023-03-23,28278.0,0.03761792446726522,,,104.12913,18903
2023-03-24,27436.0,-0.030228097532573894,,,107.60628,19923
2023-03-25,27456.0,0.0007287036684767522,,,58.07685,10851
2023-03-26,27959.0,0.01815442804134823,,,62.00087,11250
2023-03-27,27107.0,-0.03094715423258761,,,73.80828,12762
2023-03-28,27251.0,0.00529822056931951,0.03615673244705676,0.6907734034801406,90.57893,16314
2023-03-29,28332.0,0.038901690207744186,0.036647478872257985,0.7001491007691129,88.21458,16558
2023-03-30,28014.0,-0.011287522674521213,0.0365719440614474,0.6987060102348324,106.5462,19879
2023-03-31,28463.0,0.015900612992794234,0.03650427508928181,0.6974131963368598,95.56441,17600
2023-04-01,28438.0,-0.0008787192354665717,0.03644266095103947,0.6962360598785675,38.99678,7314
2023-04-02,28160.0,-0.009823747684341036,0.03508313318712531,0.6702623184189412,53.81316,10028
2023-04-03,27790.0,-0.013226287535429341,0.0352644317814737,0.6737260232005495,113.00247,20794
2023-04-04,28153.0,0.012977677088958615,0.03527196506631277,0.6738699464053162,84.9127,15836
2023-04-05,28159.0,0.0002130984522911106,0.035262617214350075,0.6736913559443293,80.44351,15078
2023-04-06,28021.0,-0.004912790229912047,0.035199224666665516,0.6724802430213499,68.75536,12752
2023-04-07,27887.0,-0.004793598647568626,0.03482547544800424,0.6653397742248198,32.51611,5993
2023-04-08,27925.0,0.001361714537083282,0.032078653082049165,0.6128618066080139,21.19212,3526
2023-04-09,28311.0,0.01372807675204121,0.0318364689237068,0.6082348847595839,44.71236,8107
2023-04-10,29626.0,0.04540193245255483,0.03243439848988914,0.6196583130817634,85.56967,16374
2023-04-11,30186.0,0.018725886577376165,0.03042768349863464,0.5813200770048934,110.3042,20085
2023-04-12,29867.0,-0.010624048772455957,0.026396754592899883,0.5043092883923417,178.75338,18473
2023-04-13,30359.0,0.016338821943761902,0.026278748733631282,0.5020547896165762,124.27211,14651
2023-04-14,30454.0,0.00312433450999819,0.02591947495948386,0.4951908737991729,180.51218,21044
2023-04-15,30281.0,-0.005696895295533968,0.025709058050528238,0.4911708643981056,38.59936,7555
2023-04-16,30288.0,0.0002311413439603751,0.020100217319524008,0.38401411269198676,42.92235,8533
2023-04-17,29420.0,-0.02907687929367561,0.0206100388754762,0.39375423984225705,78.46345,14456
2023-04-18,30369.0,0.03174763611143299,0.020259553471923458,0.3870582256093131,80.91365,15088
2023-04-19,28804.0,-0.05290808489810392,0.022596077208419198,0.4316974489167467,131.13842,23973
2023-04-20,28229.0,-0.020164448057179592,0.02279849619798257,0.435564658282373,122.54609,22617
2023-04-21,27254.0,-0.03514951900181175,0.023003188405480324,0.43947529741565555,123.41128,21758
2023-04-22,27800.0,0.01983572136896237,0.02221674676881329,0.4244503510437883,66.80917,11881
2023-04-23,27574.0,-0.008162720947154171,0.021556399339450742,0.41183443111993856,82.5861,14591
2023-04-24,27494.0,-0.002905500700208998,0.02156334572538124,0.4119671416368007,137.14596,24105
2023-04-25,28281.0,0.028222402032894753,0.021930117917910927,0.4189743145362486,117.08792,20375
2023-04-26,28396.0,0.0040580890950164036,0.02112209590682397,0.4035370756899922,217.89242,34748
2023-04-27,29465.0,0.03695482811273728,0.0220847000972586,0.4219276029259483,223.98832,39678
2023-04-28,29296.0,-0.005752130357721799,0.021033717908536583,0.4018486164034919,114.7906,21320
2023-04-29,29214.0,-0.002802941503536047,0.020917921980601627,0.39963633830657325,40.50079,7693
2023-04-30,29216.0,6.845798393902809e-05,0.02073836596541355,0.39620592545307726,67.98343,12853
2023-05-01,28054.0,-0.04058528011507833,0.022077663742819553,0.4217931735631437,123.28312,21351
2023-05-02,28660.0,0.021371198102546063,0.02235399492837837,0.4270724734505345,110.64869,20163
2023-05-03,29015.0,0.012310515242545795,0.022296006357743096,0.42596460336411757,122.64924,21936
2023-05-04,28828.0,-0.006465800580377021,0.02223149760647777,0.42473216540167025,97.49495,16555
2023-05-05,29492.0,0.022771903065209636,0.022589945288535137,0.4315802987518533,91.40473,16040
2023-05-06,28837.0,-0.02245975531273999,0.022986510754807392,0.43915667134693476,54.0319,9185
2023-05-07,28419.0,-0.014601349253157005,0.023140346790951668,0.44209570469074916,56.66959,10329
2023-05-08,27656.0,-0.02721523294218368,0.023690816566743916,0.45261241499065663,93.35323,13233
2023-05-09,27615.0,-0.0014835992661725598,0.023542039041996386,0.4497700243713802,41.96137,4017
2023-05-10,27588.0,-0.000978207784106066,0.02186443639145145,0.4177194707351773,130.01531,3110
2023-05-11,26958.0,-0.023100796252966932,0.021805954145280367,0.41660216899089175,94.34273,3879
2023-05-12,26776.0,-0.00677413540705246,0.021775533372653515,0.4160209809459069,68.04394,3254
2023-05-13,26756.0,-0.0007472166528638488,0.02145602608053028,0.40991680270082165,59.69247,2219
2023-05-14,26901.0,0.005404713381858689,0.02148692683727157,0.4105071608294371,64.55242,2506
2023-05-15,27150.0,0.009213585741924265,0.02162158170169767,0.4130797384021194,139.907,5963
2023-05-16,27023.0,-0.004688691143634618,0.02160987706639917,0.41285612165872376,141.16393,5475
2023-05-17,27392.0,0.01356264472302172,0.02129006008044499,0.40674602672130605,79.45527,4037
2023-05-18,26809.0,-0.021513347922214234,0.02055394969265814,0.392682657509136,150.19293,5966
2023-05-19,26872.0,0.0023472002728741623,0.018397200107623895,0.3514780145428504,71.236,3430
2023-05-20,27089.0,0.008042889115271595,0.018172900197340962,0.34719277077384264,43.96207,1895
2023-05-21,26738.0,-0.013041966864332425,0.017177011614129045,0.3281663461067455,71.09262,2680
2023-05-22,26829.0,0.003397617471223049,0.01675850368710395,0.3201707633875976,96.86959,3505
2023-05-23,27207.0,0.01399090110138666,0.016927675527004894,0.32340278685079316,106.20011,3856
2023-05-24,26316.0,-0.03329717390978897,0.017957961713014024,0.3430863767965996,335.16997,8245
2023-05-25,26462.0,0.005532622396467857,0.017123152589419256,0.32713737088445793,249.71303,4864
2023-05-26,26692.0,0.008654153421140757,0.01720160411396514,0.3286361851564091,150.59328,3808
2023-05-27,26826.0,0.00500767143853849,0.015618904401048175,0.29839874959777385,89.16521,1650
2023-05-28,28052.0,0.04468836419476545,0.017878167349546514,0.3415619076230731,435.20613,4756
2023-05-29,27724.0,-0.011761466618925763,0.017976155615537056,0.34343397081624233,618.21518,4600
2023-05-30,27682.0,-0.0015160815812280508,0.017972971159223132,0.3433731318637893,36.37331,877
